Road ID,Length,Number of Bends,Traffic Volume,Accident Risk
1,202,19,2668,High
2,535,2,2127,Medium
3,960,4,2795,High
4,370,18,1595,Low
5,206,6,491,High
6,171,8,4614,Medium
7,800,6,4574,Low
8,120,17,3661,Low
9,714,3,2378,Low
10,221,13,3199,High
11,566,17,300,Medium
12,314,8,4975,Low
13,430,1,3204,Low
14,558,19,4698,Low
15,187,14,2554,High
16,472,6,3745,High
17,199,11,904,Medium
18,971,7,2831,High
19,763,14,2873,Low
20,230,2,1670,Medium
21,761,13,2790,Low
22,408,16,3940,Low
23,869,3,1128,High
24,443,17,602,Medium
25,591,7,4593,High
26,513,3,970,High
27,905,1,4588,Medium
28,485,5,306,Low
29,291,9,1584,Low
30,376,3,963,Medium
31,260,17,2890,Low
32,559,11,663,Medium
33,413,1,4291,Medium
34,121,9,1857,High
35,352,3,1778,Medium
36,847,13,3342,High
37,956,15,4736,Low
38,660,14,1159,Low
39,574,7,1822,Low
40,158,13,3414,Low
41,610,7,3257,High
42,781,15,2725,Low
43,575,12,2829,Medium
44,799,17,1697,Medium
45,882,14,3160,Medium
46,289,12,2793,High
47,786,8,4991,Low
48,662,14,3727,Low
49,975,12,1463,Low
50,666,0,2081,High
